Histogram data for solute 1
value  % cumul. %
0    0.00    0.00
1   84.55   84.55
2    6.36   90.91
3    3.64   94.55
4    0.91   95.45
5    0.45   95.91
6    0.45   96.36
7    0.91   97.27
8    0.91   98.18
9    0.45   98.64
10    0.45   99.09
11    0.91  100.00
Mean = 0.677781 deviation = 1.709838 min = 0.011138 max  = 10.597964
Histogram data for solute 2
value  % cumul. %
Mean = 4.437965 deviation = 0.103828 min = 3.590176 max  = 4.512322
Histogram data for solute 3
value  % cumul. %
0   11.59   11.59
0.05   88.41  100.00
Mean = 0.000133 deviation = 0.000126 min = -0.000046 max  = 0.000615
Histogram data for solute 4
value  % cumul. %
0.08    0.00    0.00
0.09    0.91    0.91
0.1    0.45    1.36
0.11    0.45    1.82
0.12    0.45    2.27
0.13    0.45    2.73
0.14    0.45    3.18
0.15    0.45    3.64
0.16    0.45    4.09
0.17    0.00    4.09
0.18    0.00    4.09
0.19    0.45    4.55
0.2    0.00    4.55
0.21    0.00    4.55
0.22    0.00    4.55
0.23    0.00    4.55
0.24    0.00    4.55
0.25    0.91    5.45
0.26    1.82    7.27
0.27    0.00    7.27
0.28    0.00    7.27
0.29    0.91    8.18
0.3    0.00    8.18
0.31    0.91    9.09
0.32    0.00    9.09
0.33    0.00    9.09
0.34    0.91   10.00
0.35    0.00   10.00
0.36    0.91   10.91
0.37    0.00   10.91
0.38    0.00   10.91
0.39    0.91   11.82
0.4    0.00   11.82
0.41    0.00   11.82
0.42    0.91   12.73
0.43    0.91   13.64
0.44    0.45   14.09
0.45    0.00   14.09
0.46    0.00   14.09
0.47    0.00   14.09
0.48    1.36   15.45
0.49    0.00   15.45
0.5    0.00   15.45
0.51    0.45   15.91
0.52    0.00   15.91
0.53    0.00   15.91
0.54    0.00   15.91
0.55    0.45   16.36
0.56    0.00   16.36
0.57    0.91   17.27
0.58    0.45   17.73
0.59    0.00   17.73
0.6    0.91   18.64
0.61    0.00   18.64
0.62    1.36   20.00
0.63    0.00   20.00
0.64    0.00   20.00
0.65    0.00   20.00
0.66    1.36   21.36
0.67    0.00   21.36
0.68    0.45   21.82
0.69    1.82   23.64
0.7    0.00   23.64
0.71    0.00   23.64
0.72    0.91   24.55
0.73    0.00   24.55
0.74    0.91   25.45
0.75    0.91   26.36
0.76    0.91   27.27
0.77    0.00   27.27
0.78    0.91   28.18
0.79    0.91   29.09
0.8    0.00   29.09
0.81    1.82   30.91
0.82    0.91   31.82
0.83    0.91   32.73
0.84    1.36   34.09
0.85    0.00   34.09
0.86    0.00   34.09
0.87    1.82   35.91
0.88    1.82   37.73
0.89    0.00   37.73
0.9    2.27   40.00
0.91    0.00   40.00
0.92    4.09   44.09
0.93    2.73   46.82
0.94    3.64   50.45
0.95    3.18   53.64
0.96    5.45   59.09
0.97    8.64   67.73
0.98   10.91   78.64
0.99   21.36  100.00
Mean = 0.807676 deviation = 0.252483 min = 0.086222 max  = 0.988985
