445 847
Segment start coords, direction cosines, length
      1166       2340         10   0.378633  -0.925547          0    23.7697
      1175       2318         10  0.0830455  -0.996546          0    36.1248
      1181       2246         10 -0.0256326  -0.999671          0    39.0128
      1179       2168         10 -0.0129859  -0.999916          0    38.5032
      1178       2091         10  -0.235307  -0.971921          0    48.8723
      1155       1996         10  -0.269246  -0.963071          0     48.283
      1129       1903         10  0.0238028  -0.999717          0    42.0119
      1130       1861         10 -0.0766965  -0.997055          0    13.0384
      1129       1848         10          0         -1          0         28
      1129       1820         10          0         -1          0         28
      1129       1792         10  -0.136637  -0.990621          0    29.2746
      1125       1763         10  0.0169467  -0.999856          0    29.5042
      1126       1704         10  0.0866296  -0.996241          0    34.6302
      1132       1635         10   0.674769  -0.738029          0    47.4236
      1164       1600         10   0.787056  -0.616882          0    47.0106
      1201       1571         10   0.101328  -0.994853          0    36.1862
      1212       1463         10   0.654931  -0.755689          0    39.6989
      1238       1433         10   0.943858   -0.33035          0    42.3792
      1278       1419         10   0.517419  -0.855732          0    25.1247
      1304       1376         10   0.734803   -0.67828          0    17.6918
      1317       1364         10   0.400819  -0.916157          0    17.4642
      1324       1348         10   0.310402  -0.950605          0     25.773
      1340       1299         10  -0.168964  -0.985622          0    35.5106
      1328       1229         10  -0.724703  -0.689062          0    42.0862
      1267       1171         10  -0.570657  -0.821189          0    35.9235
      1226       1112         10  -0.606449  -0.795122          0    37.1012
      1181       1053         10  -0.383378  -0.923592          0    28.6923
      1159       1000         10  -0.602238  -0.798316          0    35.7001
      1116        943         10  0.0639713  -0.997952          0      39.08
      1121        865         10  -0.353215  -0.935542          0    34.9174
      1084        767         10  -0.475819  -0.879543          0    34.6771
      1051        706         10  -0.469849  -0.882747          0    35.1177
      1018        644         10  -0.343582  -0.939123          0    43.6578
       988        562         10  -0.274721  -0.961524          0    38.8273
       956        450         10   -0.19087  -0.981615          0    36.6742
       942        378         10  -0.298824  -0.954308          0      34.58
       911        279         10   0.385806   -0.92258          0    29.8077
       934        224         10   0.787718  -0.616036          0    49.5101
      1012        163         10   0.996241  0.0866296          0    34.6302
      1081        169         10   0.996347 -0.0854011          0    35.1283
      1116        166         10   0.854787  -0.518978          0    32.7567
      1144        149         10   0.328521  -0.944497          0    48.7032
      1160        103         10   0.768221   0.640184          0     31.241
      1184        123         10   0.421731   0.906721          0    47.4236
      1081        169         10   0.447214   0.894427          0    25.7148
      1104        215         10   0.531768    0.84689          0     25.387
      1131        258         10   0.817482   0.575954          0    26.9119
      1175        289         10   0.897921   0.440157          0    28.3989
      1226        314         10   0.538035   0.842922          0    27.8792
      1256        361         10   0.467307   0.884095          0    39.5885
       911        279         10   0.980581   0.196116          0    43.3417
       996        296         10   0.987007  -0.160676          0     43.566
      1116        943         10  -0.932568  -0.360994          0    33.2415
      1085        931         10  -0.911108  -0.412168          0    46.0977
      1328       1229         10   0.899235  -0.437466          0    41.1461
      1365       1211         10   0.447214  -0.894427          0    22.3607
      1375       1191         10          1          0          0         36
      1411       1191         10   0.339644  -0.940554          0    38.2753
      1424       1155         10   0.949926  -0.312476          0    40.0031
      1500       1130         10  -0.624695  -0.780869          0    28.8141
      1464       1085         10  -0.302579  -0.953124          0    33.0492
      1324       1348         10   0.756823    0.65362          0    29.0689
      1368       1386         10     0.5547    0.83205          0    39.6611
      1412       1452         10   0.527683   0.849441          0    38.8491
      1453       1518         10   0.707107   0.707107          0    36.7696
      1201       1571         10   0.916157   0.400819          0    43.6606
      1281       1606         10   0.981314  -0.192414          0    25.9856
      1332       1596         10   0.914239  -0.405174          0    48.1274
      1420       1557         10   0.988506   0.151183          0    42.9942
      1505       1570         10   0.962309   0.271957          0    47.8017
      1551       1583         10   0.816024   0.578017          0    29.4109
      1599       1617         10   0.797092  -0.603858          0    41.4005
      1632       1592         10   0.887755  -0.460317          0    30.4138
      1659       1578         10   0.760565   0.649262          0    26.9537
      1700       1613         10   0.960714    0.27754          0    46.8402
      1790       1639         10   0.956934   0.290306          0    46.5027
      1132       1635         10  -0.769879  -0.638189          0    49.3584
      1056       1572         10  -0.665206   -0.74666          0    36.8307
      1007       1517         10  -0.492057  -0.870563          0    26.4197
       994       1494         10 -0.0766965  -0.997054          0    39.1152
       991       1455         10   0.105786  -0.994389          0    47.2652
       996       1408         10   0.144307  -0.989533          0    48.5077
      1003       1360         10  -0.356702  -0.934218          0    29.4364
       982       1305         10  -0.707107  -0.707107          0    38.1838
       928       1251         10  -0.707107  -0.707107          0    38.1838
       874       1197         10  -0.815507  -0.578747          0    38.0132
       781       1131         10  -0.829354  -0.558723          0    38.1823
       686       1067         10  -0.911179  -0.412011          0      42.07
       571       1015         10  -0.909308  -0.416124          0    43.2563
      1129       1820         10   0.991549  -0.129735          0    35.9707
      1236       1806         10   0.995661 -0.0930525          0    35.8221
      1343       1796         10   0.782823  -0.622244          0    49.8197
      1382       1765         10   0.995212   0.097744          0     37.513
      1494       1776         10   0.951223   0.308505          0    38.8973
       230        411         10   0.929578   0.368626          0     31.197
       288        434         10   0.787807   0.615922          0     34.907
       343        477         10   0.996175  0.0873837          0    28.6094
       288        434         10          0          1          0         24
       288        458         10  -0.409056   0.912509          0    31.7805
       275        487         10  -0.743294   0.668965          0    13.4536
       265        496         10  -0.754082   0.656781          0    41.1096
      1444       1022         10    0.98758   0.157115          0    44.5533
      1488       1029         10   0.731894   0.681419          0    39.6232
      1546       1083         10   0.955352    0.29547          0    33.8444
      1130       1861         10  -0.907563   0.419917          0    36.9121
      1063       1892         10  -0.966705  -0.255893          0     35.171
       995       1874         10  -0.840864  -0.541246          0    34.4883
       908       1818         10  -0.857493  -0.514496          0    34.9857
       818       1764         10  -0.920155  -0.391555          0    34.0522
       724       1724         10  -0.921635  -0.388057          0    34.3592
       629       1684         10  -0.920331  -0.391141          0    43.4626
       589       1667         10   -0.90569   -0.42394          0    25.9471
      1125       1763         10   -0.71154  -0.702646          0    37.4774
      1045       1684         10  -0.869783  -0.493435          0    39.8567
       941       1625         10  -0.969231  -0.246154          0       32.5
       878       1609         10   -0.98302  -0.183497          0    38.1477
       803       1595         10  -0.920967   -0.38964          0    42.3468
       725       1562         10  -0.932441  -0.361321          0    42.8981
       645       1531         10  -0.988174   0.153337          0    29.3471
       587       1540         10  -0.755689   0.654931          0    39.6989
       557       1566         10  -0.186541   0.982447          0    40.2057
      1084        767         10   0.991454  -0.130455          0    38.3275
      1122        762         10   0.828849   0.559473          0    48.2597
      1242        843         10   0.818903   0.573932          0    47.6247
      1160        103         10   0.377897  -0.925848          0    26.4622
      1180         54         10   0.999703  -0.024383          0    41.0122
      1221         53         10   0.815733   0.578429          0     33.712
      1204        166         10   0.834773  -0.550595          0    28.1514
      1251        135         10    0.50262  -0.864507          0    49.7393
      1293        431         10  -0.840297   0.542127          0    36.8917
      1262        451         10         -1          0          0       26.5
      1039        289         10   0.931243   0.364399          0    37.0473
      1108        316         10   0.242536   0.970142          0     37.108
      1043        912         10  -0.696475  -0.717581          0    47.3814
      1010        878         10  -0.566529  -0.824042          0     38.833
       944        782         10  -0.845798  -0.533503          0    38.4253
       879        741         10  -0.609711  -0.792624          0     41.003
       829        676         10  -0.584619  -0.811308          0    41.9076
      1411       1191         10   0.102899   0.994692          0    29.1548
      1414       1220         10   0.853556   0.521002          0    45.1054
      1491       1267         10   0.963655  -0.267152          0    34.9365
      1500       1130         10   0.683157   0.730271          0      42.45
      1558       1192         10    0.58612   0.810224          0    29.0043
      1599       1617         10   0.690476   0.723356          0    30.4138
      1641       1661         10   0.892653   0.450745          0    37.7153
      1742       1712         10   0.969586    0.24475          0    35.4103
      1845       1738         10   0.886585   0.462566          0    43.2371
      1960       1798         10    0.98302  -0.183497          0    38.1477
      2035       1784         10   0.636073  -0.771629          0    47.9505
      1659       1578         10   0.823648  -0.567102          0    37.0304
      1720       1536         10   0.319219  -0.947681          0    33.4149
      1752       1441         10   0.840297  -0.542127          0    36.8917
      1783       1421         10   0.999808  0.0196041          0    25.5049
      1834       1422         10   0.873289   0.487203          0    36.2614
      1929       1475         10   0.866499   0.499179          0    35.3915
      2021       1528         10   0.990712    0.13598          0    25.7391
      1879       1666         10   0.992278   0.124035          0    40.3113
      1959       1676         10   0.990445    0.13791          0    39.8811
      2038       1687         10   0.929578   0.368626          0     31.197
       994       1494         10   -0.98358  -0.180473          0    36.9399
       885       1474         10  -0.969015  -0.247004          0    35.0872
       783       1448         10  -0.930973  -0.365088          0    36.5209
       681       1408         10  -0.925848  -0.377897          0     35.283
       583       1368         10  -0.784283  -0.620403          0    42.7142
       516       1315         10  -0.776114  -0.630593          0    41.2311
       452       1263         10  -0.889696  -0.456554          0    42.7112
       376       1224         10    -0.9998  -0.019996          0     25.005
       326       1223         10  -0.760834   0.648947          0    44.6878
